id_str,created_at,from_user,text,CLEAN,Hashtags,TARGET
519039804701671000,Mon Oct 06 08:21:47 +0000 2014,ClaireArielle,RT @ClaireChickly: A suivre ajd et demain #RencNum : les rencontres médiation et numérique au @centrepompidou,RT @ClaireChickly  A suivre ajd et demain #RencNum   les rencontres médiation et numérique au @centrepompidou, #RencNum , @ClaireChickly @centrepompidou
519039788343906000,Mon Oct 06 08:21:43 +0000 2014,Chabadie,"Adoption d'un usage, de technos, peuvent pas être prédites. ""Paradoxalement"", on est dans du temps long. #RencNum",Adoption d un usage  de technos  peuvent pas être prédites   Paradoxalement   on est dans du temps long  #RencNum, #RencNum, 
519039691862331000,Mon Oct 06 08:21:20 +0000 2014,ClaireChickly,"#RencNum l'enjeu est de parvenir via l'innovation technique a des innovations sociales, qui se font, elles, sur un temps long",#RencNum l enjeu est de parvenir via l innovation technique a des innovations sociales  qui se font  elles  sur un temps long,#RencNum , 
519039632240292000,Mon Oct 06 08:21:06 +0000 2014,sebdaniel,"#RencNum @gonzagauthier ""Le numérique au @centrepompidou est transversal et sert à faire perdurer l'institution, à innover""",#RencNum @gonzagauthier  Le numérique au @centrepompidou est transversal et sert à faire perdurer l institution  à innover ,#RencNum , @gonzagauthier @centrepompidou 
519039532038378000,Mon Oct 06 08:20:42 +0000 2014,Cleliadh,Le numérique est transversal dans les institutions rappelle @gonzagauthier #RencNum,Le numérique est transversal dans les institutions rappelle @gonzagauthier #RencNum, #RencNum, @gonzagauthier 
519039527462371000,Mon Oct 06 08:20:41 +0000 2014,thibautthomas,RT @chcourtin: 800 inscrits pour les #RencNum du @MinistereCC . Avec venue de @fleurpellerin en fin de journée http://t.co/OxtkM1u0TC,RT @chcourtin  800 inscrits pour les #RencNum du @MinistereCC   Avec venue de @fleurpellerin en fin de journée http   t co OxtkM1u0TC, #RencNum , @chcourtin @MinistereCC @fleurpellerin 
519039484529492000,Mon Oct 06 08:20:31 +0000 2014,ClaireChickly,"#RencNum le @centrepompidou proposera aux bacheliers 2015 une semaine ""philo et numérique"" &gt; facilite le croisement des disciplines",#RencNum le @centrepompidou proposera aux bacheliers 2015 une semaine  philo et numérique  &gt  facilite le croisement des disciplines,#RencNum , @centrepompidou 
519039478074450000,Mon Oct 06 08:20:29 +0000 2014,AMCSTI,Pour introduire les #RencNum le @centrepompidou expose sa politique numérique avec l'équipe du num. http://t.co/asFPvgZy1b,Pour introduire les #RencNum le @centrepompidou expose sa politique numérique avec l équipe du num  http   t co asFPvgZy1b, #RencNum , @centrepompidou 
519039439860146000,Mon Oct 06 08:20:20 +0000 2014,seeksanusername,"Le @centrepompidou va rejoindre en novembre, l'initiative #EduThèque  par @EducationFrance #RencNum http://t.co/J4pehUuZAH",Le @centrepompidou va rejoindre en novembre  l initiative #EduThèque  par @EducationFrance #RencNum http   t co J4pehUuZAH, #EduThèque #RencNum , @centrepompidou @EducationFrance 
519039422432829000,Mon Oct 06 08:20:16 +0000 2014,Chabadie,#RencNum @gonzagauthier @gonsouligne que le numérique au @centrepompidou est transversal. But : faire perdurer les missions de l'institution,#RencNum @gonzagauthier @gonsouligne que le numérique au @centrepompidou est transversal  But   faire perdurer les missions de l institution,#RencNum , @gonzagauthier @gonsouligne @centrepompidou 
519039378346488000,Mon Oct 06 08:20:05 +0000 2014,Dilvich,RT @fabbib75: #RencNum c'est parti! 800 inscrits au compteur! http://t.co/O1W7nt8rLz,RT @fabbib75  #RencNum c est parti  800 inscrits au compteur  http   t co O1W7nt8rLz, #RencNum , @fabbib75 
519039368456327000,Mon Oct 06 08:20:03 +0000 2014,JulieArtGeek,"RT @Chabadie: 2e axe : utiliser le numérique comme outil de médiation,  organisation d'une semaine philosophie et numérique en 2015 #RencNum",RT @Chabadie  2e axe   utiliser le numérique comme outil de médiation   organisation d une semaine philosophie et numérique en 2015 #RencNum, #RencNum, @Chabadie 
